LaunchSite,Latitude,Longitude,Class,PayloadMass,BoosterVersion,Outcome
CCAFS SLC 40,28.5618571,-80.577366,0,6104.959411764706,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,525.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,677.0,Falcon 9,Failure
VAFB SLC 4E,34.632093,-120.610829,0,500.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,3170.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,3325.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,1,2296.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,1316.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,0,4535.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,4428.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,2216.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,2395.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,1,570.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,0,1898.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,4707.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,2477.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,1,2034.0,Falcon 9,Success
VAFB SLC 4E,34.632093,-120.610829,0,553.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,5271.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,1,3136.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,4696.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,3100.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,2257.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,4600.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,0,5500.0,Falcon 9,Failure
VAFB SLC 4E,34.632093,-120.610829,1,9600.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,2490.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,0,5600.0,Falcon 9,Failure
KSC LC 39A,28.6080585,-80.6039558,1,5300.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,6104.959411764706,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,0,6070.0,Falcon 9,Failure
KSC LC 39A,28.6080585,-80.6039558,1,2708.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,3669.0,Falcon 9,Success
VAFB SLC 4E,34.632093,-120.610829,1,9600.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,0,6761.0,Falcon 9,Failure
KSC LC 39A,28.6080585,-80.6039558,1,2910.0,Falcon 9,Success
VAFB SLC 4E,34.632093,-120.610829,1,475.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,4990.0,Falcon 9,Success
VAFB SLC 4E,34.632093,-120.610829,1,9600.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,5200.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,3700.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,2205.0,Falcon 9,Success
VAFB SLC 4E,34.632093,-120.610829,1,9600.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,6104.959411764706,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,4230.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,0,6092.0,Falcon 9,Failure
VAFB SLC 4E,34.632093,-120.610829,0,9600.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,2760.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,1,350.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,3750.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,0,5383.85,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,2410.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,1,7076.0,Falcon 9,Success
VAFB SLC 4E,34.632093,-120.610829,1,9600.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,5800.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,7060.0,Falcon 9,Success
VAFB SLC 4E,34.632093,-120.610829,1,2800.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,3000.0,Falcon 9,Success
VAFB SLC 4E,34.632093,-120.610829,1,4000.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,0,2573.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,0,4400.0,Falcon 9,Failure
VAFB SLC 4E,34.632093,-120.610829,1,9600.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,12259.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,2482.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,13620.0,Falcon 9,Success
VAFB SLC 4E,34.632093,-120.610829,1,1425.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,2227.7,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,0,6500.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,1,15600.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,5000.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,6800.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,15400.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,0,6104.959411764706,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,1,15600.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,0,15400.0,Falcon 9,Failure
CCAFS SLC 40,28.5618571,-80.577366,1,1977.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,0,15600.0,Falcon 9,Failure
