FlightNumber,Date_Time_UTC,Version_Booster,Launch_Site,Payload,Payload_Mass,Orbit,Customer,Launch_Outcome,Booster_Landing
1.0,4 June 2010 18:45,F9 v1.0 B0003,"Cape Canaveral, SLC‑40",Dragon Spacecraft Qualification Unit,Unknown,LEO,SpaceX,Success,Failure (parachute)
2.0,8 December 2010 15:43,F9 v1.0 B0004,"Cape Canaveral, SLC‑40",SpaceX COTS Demo Flight 1 (Dragon C101),Unknown,LEO,NASA (COTS),Success,Failure (parachute)
3.0,22 May 2012 07:44,F9 v1.0 B0005,"Cape Canaveral, SLC‑40",SpaceX COTS Demo Flight 2 (Dragon C102),"525 kg (1,157 lb) (excl. Dragon mass)",LEO (ISS),NASA (COTS),Success,No attempt
4.0,8 October 2012 00:35,F9 v1.0 B0006,"Cape Canaveral, SLC‑40",SpaceX CRS-1 (Dragon C103),"4,700 kg (10,400 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,No attempt
5.0,1 March 2013 15:10,F9 v1.0 B0007,"Cape Canaveral, SLC‑40",SpaceX CRS-2 (Dragon C104),"4,877 kg (10,752 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,No attempt
6.0,29 September 2013 16:00,F9 v1.1 B1003,"Vandenberg, SLC‑4E",CASSIOPE,"500 kg (1,100 lb)",Polar orbit LEO,MDA,Success,Failure (ocean)
7.0,3 December 2013 22:41,F9 v1.1 B1004,"Cape Canaveral, SLC‑40",SES-8,"3,170 kg (6,990 lb)",GTO,SES,Success,No attempt
8.0,6 January 2014 22:06,F9 v1.1 B1005,"Cape Canaveral, SLC‑40",Thaicom 6,"3,325 kg (7,330 lb)",GTO,Thaicom,Success,No attempt
9.0,18 April 2014 19:25,F9 v1.1 B1006,"Cape Canaveral, SLC‑40",SpaceX CRS-3 (Dragon C105),"2,296 kg (5,062 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Controlled (ocean)
10.0,14 July 2014 15:15,F9 v1.1 B1007,"Cape Canaveral, SLC‑40",Orbcomm-OG2-1 (6 satellites),"1,316 kg (2,901 lb)",LEO,Orbcomm,Success,Controlled (ocean)
11.0,5 August 2014 08:00,F9 v1.1 B1008,"Cape Canaveral, SLC‑40",AsiaSat 8,"4,535 kg (9,998 lb)",GTO,AsiaSat,Success,No attempt
12.0,7 September 2014 05:00,F9 v1.1 B1011,"Cape Canaveral, SLC‑40",AsiaSat 6,"4,428 kg (9,762 lb)",GTO,AsiaSat,Success,No attempt
13.0,21 September 2014 05:52,F9 v1.1 B1010,"Cape Canaveral, SLC‑40",SpaceX CRS-4 (Dragon C106.1),"2,216 kg (4,885 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Failure (ocean)
14.0,10 January 2015 09:47,F9 v1.1 B1012,"Cape Canaveral, SLC‑40",SpaceX CRS-5 (Dragon C107),"2,395 kg (5,280 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Failure (JRTI)
15.0,11 February 2015 23:03,F9 v1.1 B1013,"Cape Canaveral, SLC‑40",DSCOVR,"570 kg (1,260 lb)",Sun–Earth L1 insertion,USAF; NASA; NOAA;,Success,Controlled (ocean)
16.0,2 March 2015 03:50,F9 v1.1 B1014,"Cape Canaveral, SLC‑40",ABS-3A; Eutelsat 115 West B;,"4,159 kg (9,169 lb)",GTO,ABS; Eutelsat;,Success,No attempt
17.0,14 April 2015 20:10,F9 v1.1 B1015,"Cape Canaveral, SLC‑40",SpaceX CRS-6 (Dragon C108.1),"1,898 kg (4,184 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Failure (JRTI)
18.0,27 April 2015 23:03,F9 v1.1 B1016,"Cape Canaveral, SLC‑40",TurkmenAlem 52E / MonacoSAT,"4,707 kg (10,377 lb)",GTO,Turkmenistan National Space Agency,Success,No attempt
19.0,28 June 2015 14:21,F9 v1.1 B1018,"Cape Canaveral, SLC‑40",SpaceX CRS-7 (Dragon C109),"1,952 kg (4,303 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Failure,Precluded (drone ship)
20.0,22 December 2015 01:29,F9 FT B1019,"Cape Canaveral, SLC‑40",Orbcomm-OG2-2 (11 satellites),"2,034 kg (4,484 lb)",LEO,Orbcomm,Success,Success (LZ‑1)
21.0,17 January 2016 18:42,F9 v1.1 B1017,"Vandenberg, SLC‑4E",Jason-3,"553 kg (1,219 lb)",LEO,NASA (LSP); NOAA; CNES;,Success,Failure (JRTI)
22.0,4 March 2016 23:35,F9 FT B1020,"Cape Canaveral, SLC‑40",SES-9,"5,271 kg (11,621 lb)",GTO,SES,Success,Failure (OCISLY)
23.0,8 April 2016 20:43,F9 FT B1021-1,"Cape Canaveral, SLC‑40",SpaceX CRS-8 (Dragon C110.1),"3,136 kg (6,914 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success (OCISLY)
24.0,6 May 2016 05:21,F9 FT B1022,"Cape Canaveral, SLC‑40",JCSAT-14,"4,696 kg (10,353 lb)",GTO,SKY Perfect JSAT Group,Success,Success (OCISLY)
25.0,27 May 2016 21:39,F9 FT B1023-1,"Cape Canaveral, SLC‑40",Thaicom 8,"3,100 kg (6,800 lb)",GTO,Thaicom,Success,Success (OCISLY)
26.0,15 June 2016 14:29,F9 FT B1024,"Cape Canaveral, SLC‑40",ABS-2A; Eutelsat 117 West B;,"3,600 kg (7,900 lb)",GTO,ABS; Eutelsat;,Success,Failure (OCISLY)
27.0,18 July 2016 04:45,F9 FT B1025-1,"Cape Canaveral, SLC‑40",SpaceX CRS-9 (Dragon C111.1),"2,257 kg (4,976 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1)
28.0,14 August 2016 05:26,F9 FT B1026,"Cape Canaveral, SLC‑40",JCSAT-16,"4,600 kg (10,100 lb)",GTO,SKY Perfect JSAT Group,Success,Success (OCISLY)
,3 September 2016 07:00,F9 FT B1028,"Cape Canaveral, SLC‑40",AMOS-6,"5,500 kg (12,100 lb)",GTO,Spacecom,Precluded (pre-flight failure),Precluded
29.0,14 January 2017 17:54,F9 FT B1029-1,"Vandenberg, SLC‑4E",Iridium NEXT-1 (10 satellites),"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success (JRTI)
30.0,19 February 2017 14:39,F9 FT B1031-1,"Kennedy, LC‑39A",SpaceX CRS-10 (Dragon C112.1),"2,490 kg (5,490 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1)
31.0,16 March 2017 06:00,F9 FT B1030,"Kennedy, LC‑39A",EchoStar 23,"5,600 kg (12,300 lb)",GTO,EchoStar,Success,No attempt
32.0,30 March 2017 22:27,F9 FT B1021-2,"Kennedy, LC‑39A",SES-10,"5,300 kg (11,700 lb)",GTO,SES,Success,Success (OCISLY)
